ias1	ias2	ias3	ias4	ias5	ias6	ias7	ias8	ias9	ias10	ias11	ias12	ias13	ias14	ias15	ias16	ias17	ias18	ias19	ias20	ias21	ias22	ias23	ias24	ias25	ias26	ias27	ias28	ias29	ias30	ias31	ias32	ias33	ias34	ias35	ias36
1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1
1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1
1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1
1	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1
4	2	4	1	3	4	2	5	3	2	3	2	2	3	2	2	1	2	4	2	4	3	2	3	2	3	4	3	2	3	4	3	2	2	4	3
3	1	4	3	4	1	2	4	3	1	2	2	1	2	2	3	1	1	3	3	2	1	1	3	3	2	4	2	2	2	3	1	3	1	3	2
1	1	3	3	1	1	1	4	1	2	1	2	1	1	1	1	2	1	2	3	2	3	1	1	3	1	2	1	1	2	5	1	1	1	1	1
2	3	4	3	2	1	1	4	1	2	3	4	3	1	2	3	2	2	3	3	4	1	1	3	2	2	2	2	3	2	3	2	2	2	3	2
2	3	4	4	4	2	2	4	3	2	1	3	3	1	1	1	1	1	3	2	3	1	1	3	3	1	2	1	2	2	4	4	5	1	2	1
1	1	4	2	3	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1
1	1	3	2	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
1	1	3	2	2	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	3	2	1	3	1	1	3	4	3	1	1	1	1
1	1	4	1	1	1	1	3	1	1	3	1	3	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	2	1
3	2	4	3	2	3	2	4	4	2	2	4	4	4	1	1	3	2	4	3	5	3	1	4	2	3	2	2	1	4	2	4	2	1	1	1
3	1	5	1	1	3	4	3	2	2	4	3	1	1	2	3	2	2	3	2	3	2	1	4	1	2	4	3	1	1	4	3	1	1	1	1
1	1	1	1	2	1	3	4	4	3	2	2	5	2	2	2	2	3	2	2	4	4	3	3	3	1	2	3	2	2	2	3	1	1	2	3
